Depression and anxiety,Life satisfaction,Self-esteem,Subjective happiness,Loneliness,Greenspace use (frequency),Greenspace use (duration),Nature view,Sex,Age,Income,Impact of COVID-19 on income,Number of working days,Number of children,Presence of a pet,Frequency of drinking alcohol,Frequency of smoking,Housing type
0,14,29,24,37,2,1.5,1,female,77,2,4,0,0,0,3,0,owned_house
8,22,28,16,50,0,0,0,male,44,1,4,5,0,0,4,0,rented_flat
2,10,26,19,27,0,0,1,male,46,3,4,5,0,0,5,7,rented_flat
10,10,23,13,59,0,0,0,male,53,3,4,5,0,0,0,7,rented_flat
12,10,13,4,80,0,0,0,female,46,1,1,5,0,0,0,0,rented_flat
4,11,25,21,52,0,0,1,male,56,4,2,5,1,0,1,0,owned_house
3,12,35,19,58,2,0.5,1,male,55,4,4,5,0,0,1,0,owned_flat
12,8,19,16,59,0,0,0,male,62,2,4,3,0,0,0,0,owned_flat
0,11,29,19,42,2,0.5,1,male,50,4,4,5,2,0,7,0,owned_house
6,11,25,16,49,0,0,1,male,38,1,4,5,0,0,0,0,rented_flat
11,12,23,17,52,0,0,0,female,48,2,5,5,0,1,5,4,owned_flat
2,12,30,20,39,3,0.5,1,male,67,3,4,2,1,1,7,0,owned_house
2,11,31,20,49,2,0.5,0,male,69,4,3,7,0,0,2,0,owned_house
6,16,29,18,46,0,0,1,female,68,2,4,0,2,0,7,0,owned_house
2,1,25,19,50,1,0.5,1,male,51,4,5,7,1,0,1,7,rented_flat
0,14,32,28,42,0,0,1,female,77,2,4,0,0,0,7,7,owned_house
1,12,26,20,39,0,0,1,female,73,1,3,0,0,1,3,0,owned_flat
1,15,37,25,28,1,0.5,0,male,70,3,1,7,0,1,7,0,owned_house
0,11,31,21,31,10,1.5,1,female,71,3,4,0,0,0,4,0,owned_house
4,8,27,12,42,0,0,1,male,67,2,2,7,0,1,5,7,rented_flat
3,9,30,18,42,0,0,1,male,61,4,3,5,0,0,0,0,owned_flat
0,10,32,20,26,0,0,1,female,71,1,4,1,2,0,6,7,owned_house
4,13,29,20,57,5,3,1,male,59,3,4,5,0,0,7,7,owned_house
0,10,27,19,41,0,0,1,male,74,1,4,5,0,0,0,0,owned_house
10,10,21,16,60,0,0,1,male,61,2,2,3,0,1,6,7,rented_flat
2,11,37,23,28,5,0.5,1,male,74,4,4,0,0,1,1,0,owned_house
0,14,29,23,32,20,5,1,female,69,2,4,0,0,0,4,0,owned_house
7,13,22,12,68,2,3,1,female,46,5,4,4,0,0,0,0,owned_flat
4,14,29,20,59,0,0,1,male,70,4,4,0,0,0,0,0,rented_flat
4,12,25,18,52,0,0,0,female,44,2,4,5,0,0,4,0,owned_flat
4,10,32,21,39,1,1.5,1,male,62,3,4,5,0,0,7,7,owned_house
1,14,29,16,42,0,0,1,male,64,1,4,0,0,0,4,7,rented_flat
11,22,25,16,52,0,0,1,male,45,4,4,1,1,0,0,0,other
12,10,24,16,50,0,0,1,male,57,1,4,7,2,0,0,7,rented_house
1,13,27,20,47,0,0,1,female,57,1,4,5,0,0,0,0,owned_house
6,11,28,19,43,1,0.5,1,female,51,1,1,0,0,0,0,0,rented_flat
2,12,28,18,43,7,0.5,1,female,29,6,4,7,0,0,1,0,owned_house
7,6,27,16,50,0,0,0,male,58,4,3,5,0,0,4,0,owned_house
9,5,27,16,52,1,0.5,1,female,70,2,3,0,0,0,0,7,owned_flat
8,7,24,16,55,15,5,1,female,51,3,3,5,0,1,4,0,owned_flat
0,11,30,20,39,6,1.5,1,female,78,2,4,0,0,0,1,0,owned_flat
1,14,29,20,37,15,3,1,female,39,5,4,5,0,0,2,0,owned_house
2,12,30,20,47,5,3,1,male,71,2,2,7,0,0,5,0,owned_flat
6,11,25,16,51,0,0,1,male,64,1,3,7,0,0,0,0,owned_house
5,11,24,15,51,0,0,1,male,66,1,4,5,0,0,7,1,rented_flat
2,10,26,16,50,0,0,0,male,56,4,4,5,0,0,0,7,rented_flat
8,9,19,13,59,31,3,1,male,68,2,4,0,0,0,7,0,owned_house
1,18,29,17,30,0,0,0,male,70,1,4,4,0,0,2,7,owned_house
0,12,29,22,43,15,1.5,1,male,67,5,4,7,0,0,7,0,owned_house
0,14,34,23,20,10,3,0,female,41,6,4,5,0,0,0,0,rented_flat
0,16,31,24,31,1,1.5,1,female,61,4,4,5,0,0,5,0,owned_house
5,9,21,14,56,0,0,1,female,66,5,3,0,3,0,0,0,owned_house
3,13,33,24,24,1,0.5,1,male,71,2,3,7,0,0,4,0,rented_flat
12,10,15,8,59,0,0,0,female,51,4,1,0,1,0,4,0,rented_flat
0,14,30,20,42,0,0,1,male,73,2,3,0,0,0,4,0,owned_house
10,8,26,15,52,0,0,1,male,77,5,4,0,1,0,0,0,owned_house
5,8,25,12,42,0,0,1,female,73,2,4,0,0,0,0,0,owned_house
10,11,21,15,55,0,0,1,male,50,6,2,5,2,0,7,7,owned_flat
10,10,23,19,48,0,0,1,female,55,6,3,0,1,0,0,0,owned_house
12,6,22,16,50,0,0,1,female,67,5,4,0,1,0,4,0,owned_house
0,13,31,23,42,0,0,0,male,54,6,4,7,0,1,5,7,other
4,10,33,24,35,1,1.5,1,female,61,3,4,0,0,0,5,0,owned_flat
0,11,33,19,29,5,1.5,1,female,64,3,4,0,0,0,0,0,owned_house
0,13,34,24,38,0,0,1,male,62,3,4,5,0,0,1,0,owned_flat
7,6,25,14,66,1,1.5,1,female,62,1,5,4,0,0,5,7,rented_flat
5,12,30,20,43,0,0,1,female,63,5,4,0,0,0,7,0,owned_house
6,12,27,12,65,0,0,1,female,62,1,4,0,0,1,7,0,owned_house
0,15,35,24,37,20,3,1,male,75,2,2,7,0,0,7,0,rented_flat
7,9,24,11,67,0,0,0,female,50,1,4,6,0,0,0,0,rented_flat
5,15,30,21,56,0,0,1,male,78,2,4,0,0,0,5,0,owned_house
2,11,26,16,47,0,0,1,male,53,3,4,5,1,0,7,7,rented_flat
9,6,21,15,64,0,0,1,male,61,2,2,3,0,0,5,0,owned_flat
0,13,29,23,41,0,0,1,male,61,4,4,7,0,1,3,0,owned_house
2,14,40,28,20,4,7,0,male,60,4,4,0,0,0,4,0,owned_flat
0,12,33,20,40,0,0,1,female,69,2,4,7,0,0,7,0,owned_flat
0,16,31,22,34,10,3,1,male,78,3,4,0,0,0,5,7,owned_flat
2,12,34,25,29,5,1.5,1,male,73,1,4,0,0,0,0,7,owned_house
11,11,15,11,66,0,0,1,female,51,4,4,0,0,0,7,0,rented_flat
4,12,32,24,29,20,7,1,male,72,2,3,6,1,1,0,5,owned_house
3,1,25,18,49,0,0,1,male,32,1,4,3,0,1,0,0,owned_house
5,13,24,16,50,0,0,1,male,55,6,4,0,0,0,5,0,owned_flat
7,6,18,11,64,0,0,0,female,39,1,4,2,1,0,4,7,owned_flat
5,9,27,16,48,0,0,1,female,71,1,4,0,0,0,0,0,other
0,12,28,20,42,1,5,1,male,72,2,3,6,0,0,7,0,owned_flat
6,11,28,18,54,0,0,1,male,52,4,4,6,2,1,7,7,owned_house
2,14,28,21,35,10,3,1,female,39,1,5,0,2,1,4,0,rented_house
6,4,28,19,45,20,5,1,female,72,2,4,0,0,0,7,0,owned_flat
11,6,27,14,51,0,0,1,male,35,4,3,5,0,0,5,0,rented_flat
4,16,31,20,46,0,0,1,male,39,3,4,7,0,0,1,0,rented_flat
8,16,25,19,40,2,1.5,1,female,44,2,2,6,0,0,0,0,rented_flat
5,14,31,19,46,0,0,0,male,61,5,2,7,0,0,0,0,owned_flat
2,13,30,21,46,5,0.5,1,female,71,2,4,0,0,0,0,0,owned_flat
5,12,23,16,49,1,1.5,1,male,46,5,4,5,1,1,3,7,owned_flat
3,12,33,28,35,3,0.5,1,male,46,5,4,7,2,0,4,0,rented_house
9,10,25,16,44,0,0,1,female,63,1,4,4,0,0,1,7,owned_house
7,12,21,15,48,0,0,1,female,47,3,4,0,5,0,5,0,owned_house
1,11,33,20,33,0,0,1,female,68,4,4,0,0,0,0,0,rented_flat
11,8,25,17,61,0,0,1,male,39,1,5,7,0,0,7,0,rented_flat
5,0,25,16,51,0,0,1,male,46,1,1,0,3,0,4,7,rented_flat
0,16,33,19,39,0,0,1,female,70,2,4,0,0,0,4,0,owned_house
1,12,27,22,41,10,7,1,female,41,4,3,0,1,0,5,0,owned_flat
3,6,30,19,45,0,0,1,male,71,1,3,0,0,0,0,0,owned_house
3,13,30,24,29,0,0,1,female,72,1,4,0,0,0,0,0,rented_flat
4,9,30,23,26,0,0,1,female,76,2,4,0,0,0,5,0,owned_flat
3,12,27,20,33,1,0.5,1,male,57,3,4,5,1,0,1,7,rented_flat
5,11,25,21,42,0,0,1,female,72,5,4,0,0,1,7,0,owned_house
8,11,28,19,42,0,0,1,female,71,4,4,0,1,0,2,0,owned_house
3,15,29,20,54,0,0,1,female,42,3,5,0,0,0,0,0,rented_flat
3,9,28,19,43,1,0.5,1,male,37,4,2,5,1,0,0,0,rented_flat
2,15,36,24,35,0,0,1,male,61,5,4,2,0,0,0,0,rented_flat
3,15,25,25,51,0,0,1,female,42,1,4,5,0,1,0,0,rented_flat
4,13,26,17,44,0,0,1,female,49,1,1,0,0,0,6,0,rented_flat
3,10,23,15,55,4,1.5,1,male,54,1,4,0,0,0,5,0,rented_flat
12,14,21,17,40,2,1.5,1,female,70,4,4,0,0,0,5,0,owned_house
1,14,33,26,26,0,0,1,male,70,6,4,5,2,0,6,0,owned_house
